Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Year
Bengals,"$10,238,778 ","$4,040,770 ","$18,726,078 ","$3,962,305 ","$26,041,777 ","$63,009,708 ","$14,160,300 ","$11,753,976 ","$20,598,622 ","$8,119,150 ","$16,808,890 ","$71,440,938 ",2015
Jaguars,"$8,194,273 ","$5,564,721 ","$7,847,093 ","$16,447,200 ","$24,810,232 ","$62,863,519 ","$22,356,097 ","$12,025,078 ","$13,628,224 ","$5,375,948 ","$9,416,089 ","$62,801,436 ",2015
Saints,"$25,358,586 ","$5,692,821 ","$9,440,930 ","$3,887,942 ","$18,404,737 ","$62,785,016 ","$4,811,895 ","$5,489,433 ","$10,157,172 ","$11,168,099 ","$9,757,823 ","$41,384,422 ",2015
Giants,"$15,240,800 ","$6,883,801 ","$14,975,789 ","$1,889,705 ","$23,070,742 ","$62,060,837 ","$5,124,721 ","$13,672,478 ","$10,989,660 ","$3,336,069 ","$17,527,051 ","$50,649,979 ",2015
Packers,"$20,090,908 ","$2,917,044 ","$13,021,509 ","$3,295,825 ","$21,065,314 ","$60,390,600 ","$10,632,552 ","$35,680,871 ","$1,045,193 ","$10,790,891 ","$13,207,797 ","$71,357,304 ",2015
Ravens,"$16,944,412 ","$2,913,788 ","$9,824,791 ","$8,910,235 ","$20,756,704 ","$59,349,930 ","$6,445,633 ","$14,548,637 ","$7,764,297 ","$17,048,671 ","$7,299,764 ","$53,107,002 ",2015
Steelers,"$20,358,139 ","$3,265,082 ","$10,701,027 ","$6,131,594 ","$18,800,947 ","$59,256,789 ","$14,557,602 ","$7,727,575 ","$13,207,206 ","$5,560,650 ","$13,377,624 ","$54,430,657 ",2015
Cowboys,"$16,983,000 ","$3,636,824 ","$11,395,882 ","$8,455,213 ","$17,609,241 ","$58,080,160 ","$3,212,519 ","$16,676,513 ","$12,864,734 ","$5,252,185 ","$24,161,659 ","$62,167,610 ",2015
49ers,"$17,234,471 ","$4,458,248 ","$13,805,614 ","$2,762,661 ","$19,757,909 ","$58,018,903 ","$6,591,793 ","$11,474,979 ","$10,783,706 ","$8,880,119 ","$6,467,970 ","$44,198,567 ",2015
Browns,"$8,093,954 ","$1,964,338 ","$14,792,090 ","$5,193,030 ","$27,241,456 ","$57,284,868 ","$15,138,196 ","$14,097,291 ","$9,223,625 ","$11,656,943 ","$23,514,408 ","$73,630,463 ",2015
Chiefs,"$21,476,940 ","$9,656,539 ","$6,172,669 ","$2,273,413 ","$16,685,651 ","$56,265,212 ","$11,816,841 ","$13,645,289 ","$8,095,994 ","$14,112,700 ","$11,077,574 ","$58,748,398 ",2015
Rams,"$5,218,449 ","$4,573,838 ","$11,865,185 ","$15,475,441 ","$18,702,572 ","$55,835,485 ","$10,316,492 ","$37,018,755 ","$10,685,780 ","$8,220,899 ","$4,293,600 ","$70,535,526 ",2015
Raiders,"$1,918,064 ","$3,907,750 ","$12,243,561 ","$4,799,545 ","$31,155,998 ","$54,024,918 ","$10,429,225 ","$13,003,817 ","$12,767,283 ","$14,730,695 ","$4,515,992 ","$55,447,012 ",2015
Buccaneers,"$5,965,886 ","$5,081,515 ","$18,129,732 ","$4,336,557 ","$20,141,348 ","$53,655,038 ","$23,969,929 ","$5,445,509 ","$12,188,387 ","$4,087,338 ","$8,260,432 ","$53,951,595 ",2015
Seahawks,"$8,554,868 ","$10,635,847 ","$9,888,081 ","$10,063,162 ","$12,810,650 ","$51,952,608 ","$9,600,635 ","$18,100,443 ","$12,650,324 ","$13,893,024 ","$15,557,555 ","$69,801,981 ",2015
Texans,"$6,357,837 ","$10,875,801 ","$6,411,093 ","$5,702,571 ","$22,553,824 ","$51,901,126 ","$20,580,901 ","$9,018,355 ","$12,609,806 ","$4,828,838 ","$23,059,240 ","$70,097,140 ",2015
Colts,"$10,966,900 ","$5,547,765 ","$13,153,178 ","$4,034,629 ","$14,365,795 ","$48,068,267 ","$14,935,562 ","$24,983,566 ","$10,511,983 ","$5,801,282 ","$21,055,447 ","$77,287,840 ",2015
Dolphins,"$7,625,864 ","$2,623,010 ","$7,039,908 ","$6,819,535 ","$23,159,445 ","$47,267,762 ","$11,620,268 ","$18,738,508 ","$9,272,473 ","$10,861,046 ","$14,670,090 ","$65,162,385 ",2015
Bills,"$3,732,738 ","$7,707,163 ","$12,781,663 ","$5,735,146 ","$15,086,305 ","$45,043,015 ","$16,827,353 ","$27,384,012 ","$7,282,129 ","$5,657,363 ","$16,809,630 ","$73,960,487 ",2015
Titans,"$5,017,020 ","$5,286,810 ","$8,113,034 ","$10,447,500 ","$11,157,861 ","$40,022,225 ","$21,122,812 ","$10,312,803 ","$6,083,453 ","$12,937,775 ","$15,939,246 ","$66,396,089 ",2015
Cowboys,"$23,926,148 ","$9,073,966 ","$19,837,501 ","$9,867,494 ","$21,408,752 ","$84,113,861 ","$4,585,559 ","$10,409,388 ","$15,942,586 ","$8,367,517 ","$20,670,361 ","$59,975,411 ",2016
